feature,importance
price_per_sqft_adjusted,0.6346015795548272
TOT_LVG_AREA,0.36208297954231905
land_to_building_ratio,0.0004751975032863068
SPEC_FEAT_VAL,0.00039406932886967773
LND_SQFOOT,0.00038524405474198577
age,0.0003704292289633623
log_ocean_dist,0.00035388257874204335
OCEAN_DIST,0.00027893862359034554
CNTR_DIST,0.0002690382757350319
log_center_dist,0.00025831183480867965
log_water_dist,0.0002233758265035208
WATER_DIST,0.0002009708772233089
structure_quality,7.477389436189972e-05
has_special_features,3.1208876027392794e-05
